,comp_name,job_title,city,posting_url,salary_estimate,lat,lng,type,job_cat
0,Wag!,"Earn up to $1,250/ month walking dogs","San Francisco, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DS49wU-Nrh2jPsAS9jhWCq6bSm4zo48pW_WnPte91cr8W0I91uUcGrciU7phwcmriTxFWebEqoSvld_V8pN7fyBkkZQpx2FMI_heqD0tg0LHIbZDWMefrED_GeFpVoP1XDoGUfTq_GFobylC-LNnV287S9qJH7byBegbWS9CIuhpYh8lx6MlwRoFRy5TyO7hf1dICnL8JIewcVA4x9olms5CeEVaXVbdzZQiG93kPn45ThUDc_gNX-VHNS-spejPfoSFlm5_I0EgBjUEjFS3qCAVOzZbn8yIZMaR0cxs-fmOyQAQnbDo6m34xiu03sf1ffKs5r0d73FfOyLJ-pF7ebXd-iApkZTLUk1qFrVDhZD3EvbtlVjPML2bVpiN_fTnWz2A4tkmsun41uxq5SliBWNMOgMYIZoVl1XCGZYzB7W1b_faXPqX-wJT6QKy8Rwo9E-kW9bxjTk_gZoOQ7a0GkWIIsNCtJeD-hAAFSx6xljMMuI7nlHUf6&p=0&fvj=1&vjs=3,"$1,250 a month",37.7749295,-122.4194155,Full Time,Other
1,Livie & Luca,Product and Data Coordinator,"Emeryville, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BYRINpoLQlLms_lUgv2XSQTLHiLQK1ElfXWx_-cUY6yFca5kfCCoyX3OfDTJlBIFBIDx70lOj_lGpcHgNes4KgIeYdXm79zwVyF_1-iSwAWc83ld7MURWH0lhe90jblCVkriAp8Rj_CVNc68IDO9zXtfGh-o-IwLC5EFnJtyNfIN_k0n9skXK1nnGemytYtW8WrK6G_XdqcA5NaXKkX-xaooZhpGMA_CpsQ2Nh1wg-bcCj1ijrDykBZnecok83BQSITQwV3PorLrC6layE1vbuw9eWwCtIhzfOvdWJj6kRpRGD7qVh_LsdK_as92rLVXe2pgkjwZvFahYZrJeR9nSAx5gjRWxZqLoOdr52x9HOWwyHMbiQEK7AvvIKbL9S_jnRASLRUgiX8jpvOa4fJL4KTjYfTbfxQZ7FP4mZd911UTDThrLqxvhpcz6idCv-8P3DOQpSzmNws_Y_nV1MnKIAaef3yYipwP0qPYMaa1dnnr8cwigbmnttzk1tjPs4lGI=&p=1&fvj=1&vjs=3,$20 - $25 an hour,37.831316,-122.2852473,Full Time,Data - Other
2,"Raybeam, Inc.",SQL Data Analyst,"Mountain View, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DpZ-PB5xWxfUrl162oOY4eAwFszP2Qe-6MnJIaEBLI10s9Od92clv11o1CLhYxaGbh_ouWLqW5mOU3qlig9ffXdZQVWDxtntUH3uxhoONs9R5doBpRr1d1UhhraAAVjLjJ0H8m1maOHB1IQ9K33IEuF1MRN-QzbFQQLXL_JQyY_2DJjAsBFBl8kWHKJH-GDunIFY5JNAlGtc-UeA6LfMeoD995YVOoOSbiq3eTfRl3hJZ9BYNJBwvcEJAcTh5W0rJQgdYsZKo3t4pgwYKAuFZ1kJGpEkJVl0DKH0KWMkMnU5tAYGNaMQYViR5VT7nCyF-KXV8vRnsdm9drf6APMauqiYA9_eupWPeggh4A4eJdAL6bkf5V0i36ofklElNe20Xx2od2VWOxWrYi8U6cy361Ggl-vILoRV2IGZZ9y9qH0-b1kLtzRkm-BVxJvJ9Xt8JaPidKXSt2_oWdbHAT6MNFwNS7GsbxVbgMvL7rxoMfYg==&p=2&fvj=1&vjs=3,Salary Estimate not available,37.3860517,-122.0838511,Full Time,Data Analyst
3,"Health Services & Benefit Administrators, Inc.",Data Analyst,"Dublin, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BO4NUdX-nGf25EKR6-BgGdnFt18DfS0VA3mERfyA_iFiQPRrWOoH01uya1y4qjjoRDBIoopGTkXSg_-y_mtFMIUTFACx1C_GgC4q14GnY8zst8kJZLib1jjg9IYEke4JLrZtqKVCGq4DTnNyFIopFLyf2mOpa94pEjZnJR9NcdTAV-35UOWUUGagsfrpjpGtl_2uEpFuzv5yp4q5jbDcjqoyKB01yUHyGutsK9PtRk91UDFHzMhX15sMrIokHX519oluD4-O6hd5AHEzaz3J7yv9uLVulzzysaVFGRNJymsSybLUoQ11LDqrdiY3u1iBhlBINHTpHr5CoyU3MbIGv6TJrhyVXmB0JfZdiPcYeiQpdVD-wU5Doe5H_XTT40iqeep-owapKJgTCJXjluS81Bj6A-NnJH5qWm2x0UfOENfRRVyW1jG5jXGaRsbaZ84cSu_X0uOYEKUYZTSPAzlGi854N3BMDp7RbP1STckFeOSYexZWpnbYiPQn8Cda5jo5Y=&p=3&fvj=1&vjs=3,"$60,000 - $68,000 a year",37.7021521,-121.9357918,Full Time,Data Analyst
4,"Institutional Real Estate, Inc.",Data Services Associate ,"San Ramon, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BAD84_jn85ci3kPtIVJsYnFpNPLIhNvZgy25Y7jbwohaTXHclZHS6iJe5PmuGGHj302R-Dup-cBypmR5itLjM_d059ezt0omvUQqK4A-6Gg2HztCLK72hPMWBrh9a7EHXF2ZIxwyJ7CuT3Zrj15If5RaNpaiNI-euHen2t9ZzfH1DyUjLQLQYuDe2B3j1JK7jGa12D6XK_42GhVLxEBfeBnjt7OXIIjvYVOLBInKVim1nn2JhvM38Xyz8idI39DdRUL_CgkNepU1NjW6X3fqmc7L89veO5_B0lzpIoJGiaa97N5klg2FClloHbJqCP7KpKHxzMKmt3ViCEfStHjOm0ucqvKtx-Z1svn0mQ1-D1CZLl9dCWDkkNea3ADMJSpUZ9CxYxNU-Pcnie3EQ95tZhhtE2SQVC9DgvhCrNfw-D_IIFob4G3zEKljE2Eq7D4oxiVeNBprHqNfwAlP7G0lc8XTYNefiYp0T2lfuzCvVZQ5TypOqS3d9C8yJyyqWY2q4=&p=4&fvj=1&vjs=3,Salary Estimate not available,37.7799273,-121.9780153,Full Time,Data - Other
5,SEIU UHW-West & Joint Employer Education Fund,Program Data Specialist,"Oakland, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOVQCIPB2YlHaxcnK7beA-i4KZHn_vFUfbnGgTcXdzQSjqNu1CMyDohCjrjqMtl2D6VMwvxqIHpPTXFPRVbGwQP74yTAg7RDR4J60MSljEgnxNQHYnOO1RXFtG_6UfZwEhrSLY8TOCkZTgIDZ8vR0RzFxCEVxPGNut-2TBc0KvSHnaAasSYPGl-q3gyQKsKXdfHI8qgsyiL10qg0l0-5o3nXMSaTPWT-YcTuxMktDB559S01Z4TrPq3XtkabpgigJEfXtst4zQHfKLH4w0gst7mvytrvgh18bxoTqfCGELv8J76RwMsZjbKHsktxJAJTtu8E59lsWCLENjRCt9TAU4s3C_VU66f2hKQ6EiT5jwefoeAfZ7kSIxnvC1quOpbgla9IG_bibG3EoxpxRfHuj_FyzAFDfcEnq9WpRcqRY61yOioHivNjaUpI1jk1UaAfC9erguf5J62DMbIQSablOumHFlJOfy2XGm-hX6byY2Gso6nrD0ShUsTK4KAtPAUD4=&p=5&fvj=1&vjs=3,"$61,832 a year",37.8043637,-122.2711137,Full Time,Data - Other
6,Safe Catch,Data Entry and Logistics Coordinator,"Sausalito, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCdpVPLLMLqvYWeoRU1Q4Ci0DH7c1q2hKaaFrRY0Nhkg5VUpJZluHVgc2GrUSX6P_0jDebEdM_5C9BVtw6XVPjyeOVuyicywSNunNydTCGTwyJzguZpGAvPO7Hnevbar_I3-6v2Vhg_iiAZ1gbTg1WgEzNWncwAOpgjYiD66AoAoNok9Nl6ZbN6AIx1cNA2JE-pq7qU3A_IZJXTxVk3C4cilME3ohBl2m-e8z32fGWbgB7rKYC7JnMZslDfFKi8yiTgAYG-LhzVmrui1CSoTtjDE0JIYwMkI-kK2Pp67Vq9GpigCP2K0GKGczSSgp1gYuCTwY4c7G53ifCsQF_nuTh4Tko2KrZl3D4QviENJ9li7Egyg8JVyux3Ha3Ny9WiT1J2f8ao9nvhziVrPqQHRhmbdE9uMvDLW2THqO15IDj1e0Va4Q79KdVvz8JiH7dZQexGdQYyngyKZe167RlmeLUG3eY2ROFsQBrwieSVBd8O_73CQac2BoOQkqHEsmi_gdI1avWwbx1vuuKieHVgvy0&p=6&fvj=1&vjs=3,"$55,000 - $60,000 a year",37.8590937,-122.4852507,Full Time,Data - Other
7,Funding Circle US,Talent Acquisition Partner - Tech,"San Francisco, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxQlKr4N-gxhxagYSfO_p3DjIG0Frhi5iauBS0K8YXN3DexMwrM1rZo8jTeIxAsaAp_8PvHhEANO8QZ13xujAAPry2pcwPNGd2n1vDd-nELA_dhqLJUsSJgTfRyUNgImVUWtHUz02mugOhNrZ9fitG8F_tfEnUZ9wdEVK1nN4LFlRlq-x5aAzIPe98346y7D6PH8a3ToOjoMhCtFwHDSonXwd8aeYKe-5KvwS7M5t1anoptbYrwXtEUI62YqMk8zAM-FGAa8Kdddt8I9aNLCTX5olShypsIjsvexfscOO8Z3gsTUwscL5U1LDWDIx8uc-5F9Bxsfhc5OqNHVuu-9Bkrk304uTLCGsknal6Obyd4fQugkFs6Ex15BiwIuzbrlHFKX7Ulu5OBP2mZQhRv_aA2mW6BNq2jMMt-rfZOcKSiJMF8DSp8k9bn0N-1B5QWHqNA5llG4NaARrbhTBFRde2ADqTP2gYQkX-IUhPIV5EP555FkNMlfkA7Xor6N3KGHX3Tjn_7O5HQeXsZOiO4bzaZH26ZK9MBlRlCNvXIbkx4mhkzJj_RJRTK0wPqTJmGbgk_dMHIwc46CN-s3xB-PSYzYKJUvdiutw=&p=7&fvj=0&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Other
8,ALOM Technologies,Data Analyst,"Fremont, CA",indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ApKX8Ly9Su4u7-E_iwX0TUS6BcV45_p-Corjom3hBaTnmPEalDKrG5iKXJu48gG1FaCnLp3JpOnCuZGo0yDeMWlR6NWrS3yBWZL0uoaTzuefzSF_1jTp-kCaI1VyYli0RPzcLbpBFw4XW0MHXJVsGncKuSDMU4eIsNw-Xf0HyDhzUYhTo69pXeZ3-WH6LjLarv8CImktSQWYNXBszS33K7rk6zhbEfvM871-TgmcHZWwOcEu47UfsHbGlUZDkBuWRchhWwUKN3ImOM1SJiSir_yETEj4G4vp77XuGqzxwnpe9rzi6HAchkRze4tpneeju5-R7YP2brn4KzO6pFRfdK09p_k8l9Kk3Vu0G0Fhv5_-tobr8E8fFWD7PqSwBN5WsYZj8pXqwy0vTHnp0nVkunS_7vh7HdDIodZtsUvxIwVVGH3p49pk56q3MVDdu2IJ1eyg_GyQzShZrbKP1Dv1gR881V5OLw-czyZPymPJZ7BA==&p=8&fvj=1&vjs=3,Salary Estimate not available,37.5482697,-121.9885719,Full Time,Data Analyst
9,Visteon Corporation,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=ce9912aeb31a8efa&fccid=687353658ec2a0cb&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
10,The Climate Corporation,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=b86a5ae4e905feb2&fccid=5527fa86119a4ea6&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
11,Alloy,Data Operations Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=d8c367b5dc26aea2&fccid=17deafb845ac1078&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
12,CRF Health,Data Analyst I,"San Francisco, CA",indeed.com/rc/clk?jk=1d3396454664569e&fccid=bd7c229675b4b45a&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
13,Clarify Health Solutions.,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=5d8a43bf1aed3306&fccid=a43657d8af5c59dd&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
14,Opendoor,Pricing Strategy & Analytics Associate,"San Francisco, CA",indeed.com/rc/clk?jk=1759d8e32365689d&fccid=7af474979a2ce5fb&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Other
15,Health Leads,Data Analyst,"Oakland, CA",indeed.com/rc/clk?jk=cb72ed7df8819b43&fccid=25d7b54921476d73&vjs=3,Salary Estimate not available,37.8043637,-122.2711137,Full Time,Data Analyst
16,Cheetah,Data Analyst,"San Francisco, CA",indeed.com/rc/clk?jk=ccf7a0de58a9c689&fccid=c53dfd311ee444bd&vjs=3,Salary Estimate not available,37.7749295,-122.4194155,Full Time,Data Analyst
17,"Outsell, Inc.",Data Analyst,"Burlingame, CA",indeed.com/rc/clk?jk=ec9addf1ec06f0f7&fccid=8b149352ed482c98&vjs=3,Salary Estimate not available,37.5778696,-122.34809,Full Time,Data Analyst
